[ERROR IN] Hora: [11:25:50] [ERROR   ] Hora: [11:25:50] Error: [La conversión del tipo DBNull en el tipo String no es válida.]
[ERROR IN] Hora: [11:26:10] [ERROR   ] Hora: [11:26:10] Error: [La conversión del tipo DBNull en el tipo String no es válida.]
[ERROR IN] Hora: [11:26:56] [ERROR   ] Hora: [11:26:56] Error: [La conversión del tipo DBNull en el tipo String no es válida.]
[ERROR IN] Hora: [11:30:18] [ERROR   ] Hora: [11:30:18] Error: [La conversión del tipo DBNull en el tipo String no es válida.]
[ERROR IN] Hora: [11:30:46] [ERROR   ] Hora: [11:30:46] Error: [La conversión del tipo DBNull en el tipo String no es válida.]
[ERROR IN] Hora: [11:34:35] [ERROR   ] Hora: [11:34:35] Error: [La conversión del tipo DBNull en el tipo String no es válida.]
[ERROR IN] Hora: [11:34:40] [ERROR   ] Hora: [11:34:40] Error: [La conversión del tipo DBNull en el tipo String no es válida.]
[ERROR IN] Hora: [11:41:58] [ERROR   ] Hora: [11:41:58] Error: [La conversión del tipo DBNull en el tipo String no es válida.]
[ERROR IN] Hora: [11:58:27] [ERROR   ] Hora: [11:58:27] Error: [cannot insert NULL or update to NULL: TrexUpdate failed on table INF_CONSOLIDADOR:CUEXCOMP with error: constraint NOT NULL violation;checkNotNullColumn(): found NULL;column CUENTA_NOMBRE table INF_CONSOLIDADOR:CUEXCOMP rc=56]
[ERROR IN] Hora: [12:2:25] [ERROR   ] Hora: [12:2:25] Error: [cannot insert NULL or update to NULL: TrexUpdate failed on table INF_CONSOLIDADOR:CUEXCOMP with error: constraint NOT NULL violation;checkNotNullColumn(): found NULL;column CUENTA_NOMBRE table INF_CONSOLIDADOR:CUEXCOMP rc=56]
[ERROR IN] Hora: [12:5:22] [ERROR   ] Hora: [12:5:22] Error: [cannot insert NULL or update to NULL: TrexUpdate failed on table INF_CONSOLIDADOR:CUEXCOMP with error: constraint NOT NULL violation;checkNotNullColumn(): found NULL;column CUENTA_NOMBRE table INF_CONSOLIDADOR:CUEXCOMP rc=56]
